"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"Horizon Europe Guarantee","10045043","UNIVERSITY OF LEEDS",,"EU-Funded","Dunning","Keri","","",,,,"","NOVASOIL: INNOVATIVE BUSINESS MODELS FOR SOIL HEALTH","01/11/2022","31/10/2025","514929",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10045043","C9D96728-304C-4EEE-BB45-046D1A062298","240CEBFD-1052-4EAC-88DF-D88A163D61C8","38CF3AB0-B06C-4A19-ACD0-386A7C74160F","1234746C-0B5D-4CD0-AAFE-543056B28DAF"
"Horizon Europe Guarantee","10039823","CARDIFF UNIVERSITY",,"EU-Funded","Noble","Simon","","",,,,"","Towards Cancer Patient Empowerment for Optimal Use of Antithrombotic Therapy at the End of Life","30/09/2022","29/09/2027","1086369",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10039823","C61863AE-93E4-44B0-9D79-032482B49350","240CEBFD-1052-4EAC-88DF-D88A163D61C8","B2ACBF49-D3F4-422C-B86D-08E99112DBF1","45E14447-59F9-4DC9-9A58-0F9270F933C8"
"Horizon Europe Guarantee","10092248","UNIVERSITY COLLEGE LONDON",,"EU-Funded","Machell","Giles","","",,,,"","PITCH - Petroculture’s Intersections with The Cultural Heritage sector in the context of green transitions","01/12/2023","30/11/2027","462442",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10092248","D32F27C2-1FC0-4165-B4D0-03496578A82C","240CEBFD-1052-4EAC-88DF-D88A163D61C8","87E66FA8-E664-4076-9773-15536DB066DF","4C091169-4BF9-4B9D-93E8-6A7C594A01F6"
"Horizon Europe Guarantee","10037865","UNIVERSITY OF KENT",,"EU-Funded","Kent","University of","","",,,,"","Emerging technologies for crystal-based gamma-ray light sources","31/05/2022","30/05/2027","307252",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10037865","C28FEBAD-2FAB-4EA8-8BC2-047A0108A6FC","240CEBFD-1052-4EAC-88DF-D88A163D61C8","D17C1400-C36F-4BA1-BB37-03B2CEF88791","A3A5A173-7808-49A6-95C6-FB1D67E5C9DB"
"Horizon Europe Guarantee","10077605","GURIT (UK) LIMITED",,"EU-Funded","Spencer","Paul","","",,,,"","Depolymerizable bio-based multifunctional closed loop recyclable epoxy systems for energy efficient structures","01/12/2022","30/05/2026","56721",,"South East","Active","http://gtr.ukri.org/projects?ref=10077605","C4AB7E33-8920-4F0A-900D-042612019A81","240CEBFD-1052-4EAC-88DF-D88A163D61C8","EFC28B61-79A9-4C88-BDFA-DAB11B76D621","1B4FC01C-1308-4B8E-8FB4-830FD1F6EBE9"
"Horizon Europe Guarantee","10040293","IMPERIAL COLLEGE LONDON",,"EU-Funded","Jackson","Matthew","","",,,,"","Sustainable exploration for orthomagmatic (critical) raw materials in the EU: Charting the road to the green energy transition (SEMACRET)","31/05/2022","30/05/2025","385839",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10040293","ECE329C6-95F1-4A2C-8BE6-038139972248","240CEBFD-1052-4EAC-88DF-D88A163D61C8","EC9326B5-50D8-459F-9932-1D39B5055FC9","EC2F1F94-E096-4D2C-A284-2EF6DE60F1BF"
"Horizon Europe Guarantee","EP/Y027639/1","University of Surrey","Mechanical Engineering Sciences","Fellowship","Wen","Jennifer","","",,,,"","LIB Sparks - Gases, sparks and flames - a numerical study of lithium-ion battery failure in closed spaces and its mitigation","31/08/2024","30/08/2026","200511",,"South East","Active","http://gtr.ukri.org/projects?ref=EP/Y027639/1","EBF8B32F-A44F-4D5F-90E6-02926D74B0E4","240CEBFD-1052-4EAC-88DF-D88A163D61C8","BE62EC9C-0D83-4697-802C-3B9892A3BDEB","FBEEE852-8261-4507-8318-87F290A4B148"
"Horizon Europe Guarantee","EP/Z000114/1","Babraham Institute","Signalling","Research Grant","Sharpe","Hayley","","http://orcid.org/0000-0002-4723-298X",,,,"","MechanoROS-T: Exploring mechanoregulated hydrogen peroxide as a mechanism of T cell activation","01/03/2024","28/02/2029","1733921",,"East of England","Active","http://gtr.ukri.org/projects?ref=EP/Z000114/1","E6460659-52A6-4C9E-A3B9-0268C664D165","240CEBFD-1052-4EAC-88DF-D88A163D61C8","54C0FDE0-939B-4621-94F8-4B5098959C52","DA43C984-7D71-497A-B9EA-DBF3A6636C51"
"Horizon Europe Guarantee","EP/Y020308/1","UNIVERSITY OF EXETER","Biosciences","Fellowship","Agapov","Aleksei","","http://orcid.org/0000-0002-8662-8573",,,,"","SyProDeSy - Synergy of Prokaryotic Defence Systems","30/04/2023","29/04/2025","200511",,"South West","Active","http://gtr.ukri.org/projects?ref=EP/Y020308/1","F475388E-E409-41F9-AD13-03D4C159C056","240CEBFD-1052-4EAC-88DF-D88A163D61C8","01F2924C-FFB4-481B-B8F0-31234D33F0FA","C3E8E122-488B-42FF-AC8D-FD41B41B98C3"
"Horizon Europe Guarantee","EP/Z00098X/1","King's College London","Cancer Studies","Fellowship","Carlton","Jeremy","","",,,,"","NEPhos_Phosphoregulation of ESCRT-III during nuclear envelope reformation","31/08/2025","30/08/2027","192297",,"London","Active","http://gtr.ukri.org/projects?ref=EP/Z00098X/1","0F859AE9-44D2-4E3C-9F87-05486BEF0CCE","240CEBFD-1052-4EAC-88DF-D88A163D61C8","1ECBCFF6-5785-4627-91AC-34132C9C759C","3F6AD747-A754-48B4-8C97-691799C18AD5"
"Horizon Europe Guarantee","EP/X026922/1","Siemens (United Kingdom)","Research and development","Research Grant","de Groot","Bart","","http://orcid.org/0000-0002-8249-1995",,,,"","CO2Valorize","31/08/2022","30/08/2026","265251",,"South East","Active","http://gtr.ukri.org/projects?ref=EP/X026922/1","2C88532C-DDB3-4746-849A-06BADF8ED5A8","240CEBFD-1052-4EAC-88DF-D88A163D61C8","A00E72E1-3841-4207-87B1-A88893C8900C","9A120B94-3516-4EE5-83BE-59C75265B9D5"
"Horizon Europe Guarantee","EP/X030792/1","Imperial College London","Chemical Engineering","Research Grant","Polizzi","Karen","","http://orcid.org/0000-0001-5435-2667",,,,"","Cell-free synthetic biology for combinatorial biosensor design (SYNSENSO)","31/08/2022","30/08/2026","530502",,"London","Active","http://gtr.ukri.org/projects?ref=EP/X030792/1","28A32D01-6E29-46AF-B30D-06D23685C668","240CEBFD-1052-4EAC-88DF-D88A163D61C8","4FC4CBFD-9E7C-4518-BB16-852553236FE1","FB6C595D-AC16-4779-B9AD-F354F7F3518E"
"Horizon Europe Guarantee","10040721","UNIVERSITY OF SURREY",,"EU-Funded","Exadaktylos","Theofanis","","",,,,"","REDEMOS - REconfiguring EU DEMOcracy Support ? Towards a sustained demos in the EU's Eastern Neighbourhood","01/01/2023","31/12/2025","567641",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10040721","34DC4B81-ABEF-48A8-A8C7-06988DEA6872","240CEBFD-1052-4EAC-88DF-D88A163D61C8","7A1819A9-4680-421D-BD65-2C1A91D7772E","4F7038E7-FCA8-49CE-82CE-EBA82D969FC6"
"Horizon Europe Guarantee","10101603","UNIVERSITY OF OXFORD",,"EU-Funded","Taylor","Angela","","",,,,"","RadioForegrounds+: Unveiling the complexity of radio foregrounds for the detectability of the CMB polarization B-mode","01/01/2024","31/12/2026","168075",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10101603","42764A88-3EAE-4C96-9037-0518942190EE","240CEBFD-1052-4EAC-88DF-D88A163D61C8","FE0AD965-17C1-4602-BF76-D6CDC97A387F","E91F2604-ADB8-4E55-B9E6-D9FE29E12F32"
"Horizon Europe Guarantee","10045438","KING'S COLLEGE LONDON",,"EU-Funded","Rodriguez Fortuno","Francisco Jose","","",,,,"","CHIRALFORCE_Chiral separation of molecules enabled by enantioselective optical forces in integrated nanophotonic circuits","01/12/2022","30/05/2026","509091",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10045438","5775A819-431E-4758-8C8D-05D8C3B373D0","240CEBFD-1052-4EAC-88DF-D88A163D61C8","C1FF0EAE-A2FD-4E96-A7CF-58458F07B7F1","633CB823-B199-48D8-AE01-6008631EC5B4"
"Horizon Europe Guarantee","10039023","UNIVERSITY OF READING",,"EU-Funded","Phillips","Mischa","","",,,,"","Modern Approaches to the Monitoring of BiOdiversity (MAMBO)","31/08/2022","30/08/2026","580897",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10039023","466C6FD6-4DA6-45EA-8B29-06964892D469","240CEBFD-1052-4EAC-88DF-D88A163D61C8","47CCC3E3-E4FA-4918-AC76-AF09ADAD3FED","15C73855-3992-4029-BDA5-48618AEE9E82"
"Horizon Europe Guarantee","10048406","UNIVERSITY OF THE WEST OF ENGLAND",,"EU-Funded","Adamatzky","Andrew","","",,,,"","Fungateria: Enlisting synthetic fungal-bacterial consortia to produce multi-cellular mycelium-based ELMs with computational capability","01/11/2022","31/10/2026","596226",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10048406","5DEE1DCB-7F3F-4E7F-B82B-064BD3004A47","240CEBFD-1052-4EAC-88DF-D88A163D61C8","CE545469-A59F-4D04-AD8A-96102A9621CA","19F8E4FF-BFFB-4E74-BEA1-8F2146A11C57"
"Horizon Europe Guarantee","10039141","KPAD LTD",,"EU-Funded","Serifi","Olga","","",,,,"","new VALue landscapes for plant PROtein Pathways","31/08/2022","30/08/2026","111849",,"London","Active","http://gtr.ukri.org/projects?ref=10039141","6004F82B-BFD8-4B2F-A219-055AFA8BC65B","240CEBFD-1052-4EAC-88DF-D88A163D61C8","695B7779-DAA3-4682-BDCA-02D8C2761DC0","58301DC9-9A40-45BA-A836-EBF4BB47C09C"
"Horizon Europe Guarantee","10049073","UNIVERSITY OF SHEFFIELD",,"EU-Funded","Osborne","Colin","","",,,,"","PV4PLANTS - AgriPV system with climate, water and light spectrum control for safe, healthier and improved crops production","01/01/2023","31/12/2026","742789",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10049073","6F82BBC9-DA4C-49F9-A322-06272C6EE834","240CEBFD-1052-4EAC-88DF-D88A163D61C8","FAABF2EB-AEB2-4A67-A79E-39B8F8121932","A9DCB75A-A9FD-4427-9FE9-9DA00E331C11"
"Horizon Europe Guarantee","10094235","UNIVERSITY OF EDINBURGH",,"EU-Funded","Hazelton","Jennifer","","",,,,"","SPACIOUS: Science Platform Cloud Infrastructure for Outsize Usage Scenarios","01/01/2024","31/12/2026","398485",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10094235","6CF66938-D209-4DCE-BC01-05A437B31E25","240CEBFD-1052-4EAC-88DF-D88A163D61C8","8B595132-049C-4500-A9B6-EE31F57B1B88","DD1BB092-6752-4256-BF44-93E33D53B6CD"
"Horizon Europe Guarantee","10082100","NEWCASTLE UNIVERSITY",,"EU-Funded","Budge","Giles","","",,,,"","Resilient beekeeping and breeding to safeguard natural genetic resources and pollination services (BeeGuards)","30/09/2023","29/09/2027","426936",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10082100","6D7C469D-57B0-449B-8C70-050507B50740","240CEBFD-1052-4EAC-88DF-D88A163D61C8","13C979ED-CCCE-4C21-9953-307B6EC53D42","4B9167E5-1485-4405-86CA-41327D554C1C"
"Horizon Europe Guarantee","10101734","THE UNIVERSITY OF MANCHESTER",,"EU-Funded","Vera Marun","Ivan Jesus","","",,,,"","2D Heterostructure Non-volatile Spin Memory Technology","01/12/2023","30/11/2026","592807",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10101734","66EF5AE8-2939-4745-924F-057CA2112E51","240CEBFD-1052-4EAC-88DF-D88A163D61C8","964A73A3-66DC-4C55-AB50-59AE3100C18E","63528D03-1432-44CE-B17D-F2BE05E326B6"
"Horizon Europe Guarantee","EP/X041387/1","City, University of London","Sch of Engineering and Mathematical Sci","Research Grant","Gavaises","Manolis","","",,,,"","Multiphase Flow Optimisation Strategies with Industrial Applications (MFLOPS)","01/01/2023","31/12/2026","795754",,"London","Active","http://gtr.ukri.org/projects?ref=EP/X041387/1","B8410034-0A78-4DAA-B0E4-0609B7337633","240CEBFD-1052-4EAC-88DF-D88A163D61C8","A32DDD1F-0518-4072-9BB6-604E849EC1B4","F1BB7C82-1E80-48FC-A53B-DFC2A2E83B10"
"Horizon Europe Guarantee","EP/Y031156/1","University of Manchester","Physics and Astronomy","Research Grant","Boya","Radha","","http://orcid.org/0000-0003-1345-7029",,,,"","FLUXIONIC: Controlled transport of water and ions in nanoconfinement","31/05/2024","30/05/2028","260676",,"North West","Active","http://gtr.ukri.org/projects?ref=EP/Y031156/1","BA5AB116-5F4E-4F53-BF69-0644EC473526","240CEBFD-1052-4EAC-88DF-D88A163D61C8","BDFEBC9A-F2A6-4D58-9440-8482180BEA69","26C17173-FAC8-4351-B9E8-3EE59DA78DBF"
"Horizon Europe Guarantee","EP/X042693/1","University of Cambridge","Chemistry","Research Grant","Forse","Alexander","","http://orcid.org/0000-0001-9592-9821",,,,"","Transforming Supercapacitors by using Metal-Organic Framework Electrodes","30/09/2023","29/09/2028","2154383",,"East of England","Active","http://gtr.ukri.org/projects?ref=EP/X042693/1","A59F7267-8110-446F-A2EA-0596BE2294D5","240CEBFD-1052-4EAC-88DF-D88A163D61C8","8C59383D-467C-4A3E-AF65-4B3F82FD1E27","C675827C-F5F1-4ED3-9135-82421D655AB3"
"Horizon Europe Guarantee","10108618","QUEEN MARY UNIVERSITY OF LONDON",,"EU-Funded","Byers","Vicky","","",,,,"","LightCure - Light for double specificity and efficacy without burden","01/01/2024","31/12/2029","231942",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10108618","A6E6F759-9933-4945-AA33-06B9620FC81E","240CEBFD-1052-4EAC-88DF-D88A163D61C8","AB74CD93-1466-4497-93FB-1EE707768B02","354D8B3A-39ED-4229-A221-5CE87137EF19"
"Horizon Europe Guarantee","10084866","NPL MANAGEMENT LIMITED",,"EU-Funded","Joodatnia","Poyan","","",,,,"","Metrology for Innovative Nanotherapeutics","31/05/2023","30/05/2026","63483",,"London","Active","http://gtr.ukri.org/projects?ref=10084866","A71F85FD-3819-4E04-8089-06579F07694A","240CEBFD-1052-4EAC-88DF-D88A163D61C8","E8C66154-79EA-4DA0-B6CC-107B17DE6851","636F6129-2F03-451B-897D-6DA36E32E6EA"
"Horizon Europe Guarantee","10064671","UNIVERSITY OF NOTTINGHAM",,"EU-Funded","Guan","Grace","","",,,,"","HECATE","01/01/2023","31/12/2025","924034",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10064671","CE3EA7DC-092A-490A-8DBB-05D1E08A3595","240CEBFD-1052-4EAC-88DF-D88A163D61C8","2EBCC169-13F8-4E3A-B92F-95BE8AC88DF6","F30AA130-7DE8-4DF1-93FF-9FE79B3F8064"
"Horizon Europe Guarantee","EP/Y008251/1","University of Southampton","Sch of Mathematical Sciences","Research Grant","Pound","Adam","","",,,,"","GWMODELS. Next-generation models of gravitational-wave sources: harnessing the small-mass-ratio limit","31/08/2023","30/08/2028","1693757",,"South East","Active","http://gtr.ukri.org/projects?ref=EP/Y008251/1","CFB1069A-032A-47BA-B8F3-06CF9D24D1BD","240CEBFD-1052-4EAC-88DF-D88A163D61C8","64EDCEB7-556D-4890-9582-FD894F98C10D","E79F82EB-6294-496D-8FCA-C47A1CBEB4E5"
"Horizon Europe Guarantee","10087360","NPL MANAGEMENT LIMITED",,"EU-Funded","Lyall","Lucy","","",,,,"","s02 Dissemination of the redefined kelvin (DireK-T)","31/08/2023","30/08/2026","330267",,"London","Active","http://gtr.ukri.org/projects?ref=10087360","DFE72617-EB2A-490B-B41A-0667FF7C663C","240CEBFD-1052-4EAC-88DF-D88A163D61C8","E8C66154-79EA-4DA0-B6CC-107B17DE6851","B48AC74E-95F4-4568-8B61-DE37682D1FCF"
"Horizon Europe Guarantee","10103750","CARDIFF METROPOLITAN UNIVERSITY",,"EU-Funded","Swiatek","Piotr","","",,,,"","Shaping symbiosis in bio-based industrial ecosystems based on circular by-design supply chains","01/01/2024","31/12/2026","168170",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10103750","E0477C48-2C9A-45A8-B4C5-04FDB6B5C5DC","240CEBFD-1052-4EAC-88DF-D88A163D61C8","8C9C33B2-A9C2-40A3-A93C-70FD691ECD25","2EC0E39E-5DAD-4EEC-9D49-66CE227260A6"
"Horizon Europe Guarantee","10050309","KING'S COLLEGE LONDON",,"EU-Funded","Barbour","Caroline","","",,,,"","SoBigData RI Preparatory Phase Project","30/09/2022","29/09/2025","182272",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10050309","E11F6750-7389-4A32-BED3-06ADDF41B7A9","240CEBFD-1052-4EAC-88DF-D88A163D61C8","C1FF0EAE-A2FD-4E96-A7CF-58458F07B7F1","84D4F900-7DB5-4556-967E-594DC70AF2F2"
"Horizon Europe Guarantee","EP/Y014561/1","University of Birmingham","School of Psychology","Research Grant","Apps","Matthew","","",,,,"","A Neural and Computational Framework of the Effort Paradox","31/08/2024","30/08/2029","1692205",,"West Midlands","Active","http://gtr.ukri.org/projects?ref=EP/Y014561/1","C8E5FA74-2F18-493F-A1A5-06089D792968","240CEBFD-1052-4EAC-88DF-D88A163D61C8","6BE9EFE8-67BC-4376-9142-6AE1A9AA6498","166EB068-3D9B-4652-8103-FFA81128A9D6"
"Horizon Europe Guarantee","10113603","UNIVERSITY OF OXFORD",,"EU-Funded","Stier","Philip","","",,,,"","Earth Observation &amp; Weather Data Federation with AI Embeddings","01/01/2024","31/12/2026","323248",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10113603","D33B3A2C-BDF9-457B-8E5A-06150FEBB598","240CEBFD-1052-4EAC-88DF-D88A163D61C8","FE0AD965-17C1-4602-BF76-D6CDC97A387F","39E510B6-02EE-4DC6-824C-0FE2B793DE66"
"Horizon Europe Guarantee","10044695","THE UNIVERSITY OF MANCHESTER",,"EU-Funded","Foster","Timothy","","",,,,"","TRANSCEND: Transformational and robust adaptation to water scarcity and climate change under deep uncertainty","01/01/2023","31/12/2026","576105",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10044695","FAA9F97D-FB15-4334-BF40-0494888F30FC","240CEBFD-1052-4EAC-88DF-D88A163D61C8","964A73A3-66DC-4C55-AB50-59AE3100C18E","4D7DBDF8-D1C1-48B8-A4F5-1A2D41C194B0"
"Horizon Europe Guarantee","EP/X020851/1","University of Bristol","Earth Sciences","Fellowship","Benton","Michael","","http://orcid.org/0000-0002-4323-1824",,,,"","Exploring evolution of feather function in early birds and dinosaurs","31/08/2022","30/08/2024","190380",,"South West","Active","http://gtr.ukri.org/projects?ref=EP/X020851/1","F8A43B78-A869-4D15-84CA-062C14938E4D","240CEBFD-1052-4EAC-88DF-D88A163D61C8","25335D80-2025-4154-989F-37646A6EFBE1","08B19FB8-D518-47AC-B40A-E79D2D697104"
"Horizon Europe Guarantee","EP/X038017/1","University of Warwick","Sch of Engineering","Research Grant","Tian","Yanling","","http://orcid.org/0000-0001-6787-4130",,,,"","Emerging nanoscopy for single entity characterisation","01/03/2023","28/02/2027","241822",,"West Midlands","Active","http://gtr.ukri.org/projects?ref=EP/X038017/1","06E3B293-9C95-410E-B610-08E70120A7AD","240CEBFD-1052-4EAC-88DF-D88A163D61C8","67A6BA65-E85D-4F6B-A1F0-DA031C2469B3","692774A1-D7A9-4795-A9ED-D4FBB6AB693E"
